STATE,CWA,COUNTYNAME,FIPS,TIME_ZONE,FE_AREA,LON,LAT
KY,LMK,Russell,21207,C,sc,-85.05863381900,36.99109125150
KY,LMK,Scott,21209,E,cc,-84.58393355990,38.29149065530
KY,LMK,Shelby,21211,E,cc,-85.19476853360,38.21545387970
KY,LMK,Simpson,21213,C,sc,-86.58225075210,36.74194082240
KY,LMK,Spencer,21215,E,cc,-85.32787374520,38.03252501460
KY,LMK,Taylor,21217,E,cc,-85.32788143130,37.36643057860
KY,PAH,Todd,21219,C,sc,-87.17907800160,36.83559261720
KY,PAH,Trigg,21221,C,ww,-87.87337210140,36.80639650620
KY,LMK,Trimble,21223,E,cc,-85.33737524510,38.61297658520
KY,PAH,Union,21225,C,nw,-87.94529298720,37.65838928530
