,stateProvince,county,decimalLongitude,decimalLatitude,scientificName
33,North Carolina,Jones,-77.35553972,35.02215079, Magnolia umbrella
34,North Carolina,Orange,-79.12054743,36.06144985, Magnolia grandiflora
35,North Carolina,Orange,-79.12054743,36.06144985, Magnolia grandiflora
36,North Carolina,Orange,-79.12054743,36.06144985, Magnolia grandiflora
37,North Carolina,Orange,-79.12054743,36.06144985, Magnolia grandiflora
38,North Carolina,Orange,-79.12054743,36.06144985, Magnolia grandiflora
39,North Carolina,Orange,-79.12054743,36.06144985, Magnolia grandiflora
40,North Carolina,Orange,-79.12054743,36.06144985, Magnolia grandiflora
41,North Carolina,Orange,-79.12054743,36.06144985, Magnolia grandiflora
42,North Carolina,Orange,-79.12054743,36.06144985, Magnolia grandiflora
43,North Carolina,Orange,-79.12054743,36.06144985, Magnolia grandiflora
44,North Carolina,Orange,-79.12054743,36.06144985, Magnolia grandiflora
45,North Carolina,Orange,-79.12054743,36.06144985, Magnolia grandiflora
46,North Carolina,Orange,-79.12054743,36.06144985, Magnolia grandiflora
47,North Carolina,Orange,-79.12054743,36.06144985, Magnolia grandiflora
48,North Carolina,Orange,-79.12054743,36.06144985, Magnolia macrophylla
49,North Carolina,Orange,-79.12054743,36.06144985, Magnolia fraseri
50,North Carolina,Orange,-79.12054743,36.06144985, Magnolia fraseri
51,North Carolina,Orange,-79.12054743,36.06144985, Magnolia macrophylla
52,North Carolina,Orange,-79.12054743,36.06144985, Magnolia macrophylla
53,North Carolina,Orange,-79.12054743,36.06144985, Magnolia macrophylla
54,North Carolina,Orange,-79.12054743,36.06144985, Magnolia macrophylla
55,North Carolina,Orange,-79.12054743,36.06144985, Magnolia macrophylla
56,North Carolina,Orange,-79.12054743,36.06144985, Magnolia macrophylla
57,North Carolina,Orange,-79.12054743,36.06144985, Magnolia macrophylla
58,North Carolina,Orange,-79.12054743,36.06144985, Magnolia umbrella
59,North Carolina,Orange,-79.12054743,36.06144985, Magnolia umbrella
60,North Carolina,Orange,-79.12054743,36.06144985, Magnolia umbrella
61,North Carolina,Orange,-79.12054743,36.06144985, Magnolia umbrella
62,North Carolina,Orange,-79.12054743,36.06144985, Magnolia umbrella
63,North Carolina,Orange,-79.12054743,36.06144985, Magnolia umbrella
64,North Carolina,Orange,-79.12054743,36.06144985, Magnolia umbrella
65,North Carolina,Orange,-79.12054743,36.06144985, Magnolia umbrella
66,North Carolina,Orange,-79.12054743,36.06144985, Magnolia umbrella
67,North Carolina,Orange,-79.12054743,36.06144985, Magnolia umbrella
68,North Carolina,Orange,-79.12054743,36.06144985, Magnolia umbrella
69,North Carolina,Orange,-79.12054743,36.06144985, Magnolia umbrella
70,North Carolina,Orange,-79.12054743,36.06144985, Magnolia umbrella
71,North Carolina,Orange,-79.12054743,36.06144985, Magnolia umbrella
72,North Carolina,Orange,-79.12054743,36.06144985, Magnolia umbrella
73,North Carolina,Orange,-79.12054743,36.06144985, Magnolia umbrella
74,North Carolina,Orange,-79.12054743,36.06144985, Magnolia umbrella
75,North Carolina,Orange,-79.12054743,36.06144985, Magnolia umbrella
