coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
4694153,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:51bffc47-e41c-4807-95ab-26e4727288fc,"2016-08-09 12:04:05"
4694154,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:6b6fae37-6fb7-4e71-95d5-3823d35dc6c7,"2016-08-09 12:04:05"
4694154,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:cb98c714-6906-45d3-a325-88b209bde7b4,"2016-08-09 12:04:05"
4694155,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:5de5f007-aaa7-45f1-a3b6-f87c9f14b528,"2016-08-09 12:04:05"
4694155,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:96e74149-5ab1-45a4-b04b-5e5668ce155c,"2016-08-09 12:04:05"
4694156,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:8f145b6f-d788-4aff-8f17-4d97c4770d7c,"2016-08-09 12:04:05"
4694156,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:0877802d-b4ac-4f62-a685-d0b728ae6828,"2016-08-09 12:04:05"
4694157,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:30f08822-47d7-4429-953e-1a326b47186f,"2016-08-09 12:04:05"
4694157,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:a594feb6-ab3a-44cc-aa4d-ca19d1ce4d38,"2016-08-09 12:04:05"
4694158,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:d7006d54-bc3f-4da9-a96f-af15cb51fcff,"2016-08-09 12:04:05"
4694158,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:f7b4612a-9649-4070-8805-f4ac1ab3c541,"2016-08-09 12:04:05"
4694159,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:b117d2dd-c50f-4299-92aa-f74b07e53e87,"2016-08-09 12:04:05"
4694159,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:067f0b1f-d444-4e91-81af-5cdfaccda79f,"2016-08-09 12:04:05"
4694160,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:081df7b1-1058-407a-9521-c64162bbefaa,"2016-08-09 12:04:05"
4694160,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:df879db2-8274-41b3-83ae-4a37f5be9c16,"2016-08-09 12:04:05"
4694185,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"All orchid records to RAB 1968.",urn:uuid:ee8e708d-75ae-47f8-9fae-c4a993256b83,"2016-08-09 12:07:38"
4694185,unknown,,unknown,,"Cleistesiopsis divaricata",,"(L.) Pansarin & F.Barros",,,,,"Weakley, A.S. 2012. Flora of the southern and mid-Atlantic states. Courtesy of the author, University of North Carolina, Chapel Hill.",,urn:uuid:1228cc73-a9fd-4aaa-b1df-2c36a72f86b2,"2016-08-09 12:07:38"
4694187,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:f88ff62c-3359-4643-839c-f9c4a7bea914,"2016-08-09 12:04:05"
4694187,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:45cc585a-2d4f-4a83-9249-66f1102b9636,"2016-08-09 12:04:05"
4694195,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:a5c8fd47-8555-47fd-9344-9c02aee82100,"2016-08-09 12:04:05"
4694195,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:f3a9c0a8-3822-4e8e-9058-ee72dc231010,"2016-08-09 12:04:05"
4694203,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:21bbef46-09a9-404f-9cc5-d681563288a3,"2016-08-09 12:04:05"
4694203,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:c8ddd15a-57d0-4878-9110-dad904821500,"2016-08-09 12:04:05"
4694206,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:cb053bbb-c8a8-4cd8-8eeb-b7bcb7653fe7,"2016-08-09 12:04:05"
4694206,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:61fae0d4-aa26-4ef4-886b-7c6b9c34302e,"2016-08-09 12:04:05"
4694207,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:fbe2176f-9118-4524-9481-8494bcdad913,"2016-08-09 12:04:05"
4694207,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:05c81197-401f-4684-8833-ef1ffea6304e,"2016-08-09 12:04:05"
4694212,"Brown, Paul",,2002-02-20,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:12d91088-7e1c-4680-ad0f-911082f4c54c,"2016-08-09 12:04:05"
4694212,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:d658573c-ef85-4ad3-829c-419cb7973c00,"2016-08-09 12:04:05"
4694215,"Brown, Paul",,2002-02-20,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:91084b8d-9099-47bf-9739-c3a43456aec2,"2016-08-09 12:04:05"
4694215,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:5d0c3a98-6637-4e32-b61b-d7f57b5a8f68,"2016-08-09 12:04:05"
4694232,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:6ee67c67-a670-4a81-bb1c-13dcc69ca518,"2016-08-09 12:04:05"
4694232,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:903fdaf2-e5a1-4475-b67c-66c916d0463a,"2016-08-09 12:04:05"
4694233,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:d8e2cc54-566f-4fd5-b8c1-bfc5ac692844,"2016-08-09 12:04:05"
4694233,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:3b0708e5-71e9-4ccc-bf2a-2bf492535f5e,"2016-08-09 12:04:05"
