coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
7970414,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:bd5b4835-29df-4671-8907-a71c21f04890,"2015-12-01 14:11:58"
7970416,"Burlage, Alleda",,1940,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:1f882a11-5940-4f65-9397-2b1e6d156952,"2015-12-01 14:17:24"
7970416,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",1,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:0d2f0781-8acc-4af2-8424-c0114df64f89,"2015-12-01 14:17:24"
7970418,"Holmes, Joseph Austin",,1880,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:2ec14e55-745d-4893-aefd-6b7d63eeec15,"2015-12-01 14:20:15"
7970418,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:a026f742-aa4d-432e-ab5a-1a9425d0af85,"2015-12-01 14:20:15"
7970418,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:2359beef-6416-4724-9c81-5ca36fa8b210,"2015-12-01 14:21:57"
7970419,"Sherwin, Helen Shedd",,1943,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:0fe8f387-b2b9-4817-9207-6a8b5d25676a,"2015-12-01 14:25:10"
7970419,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",1,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:9aaaf565-55a7-4a3b-b953-51307bf222cc,"2015-12-01 14:25:10"
7970421,"Totten, H. R.",,1941,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:d8355821-a7a2-4d9a-a157-17ed501357e2,"2015-12-01 14:31:09"
7970421,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",1,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:c9ee7fd3-e8ce-4a23-9f68-bd3b7b41fb15,"2015-12-01 14:31:09"
7970422,"Hunt, William Lanier ""Billy""",,1946,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:dcf818f1-d9d5-45f3-a6b0-ecc51c90880b,"2015-12-01 14:34:21"
7970422,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",1,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:ade37d12-6d72-43c7-a538-b3444481e705,"2015-12-01 14:34:21"
7970425,"Ahles, Harry E.; Duke, J. A.",,1958,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:0b134aee-7842-4e3d-b454-b7e45f2083a1,"2015-12-01 14:40:50"
7970425,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:b764efbe-9551-4c0f-8847-4991478e57c5,"2015-12-01 14:40:50"
7970425,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:cde3993f-aa54-4a9e-8495-23486dd76d32,"2015-12-01 14:41:07"
7970425,"Adams, J. E.",,s.d.,,"Magnolia tripetala",0,,,,,,,,urn:uuid:0a52ef49-e1f5-4a91-a46f-7abda84bac57,"2015-12-01 14:41:27"
7970427,"Ahles, Harry E.; Ashworth, R. P.",,1958,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:fc538eb0-00d8-4a42-a7df-41caa9bd0430,"2015-12-01 14:43:45"
7970427,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:8579f1d1-08f8-41ec-a715-2ad225064a07,"2015-12-01 14:43:45"
7970427,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:e7506739-5fde-4956-b7c8-68857efce562,"2015-12-01 14:44:05"
7970427,"Adams, J. E.",,s.d.,,"Magnolia tripetala",0,,,,,,,,urn:uuid:486af54a-632b-4490-a096-9628515ee099,"2015-12-01 14:44:24"
7970431,"Radford, A. E.",,1956,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:c3416321-984f-4364-91d9-c0555df3f168,"2015-12-01 14:47:21"
7970431,"Meyer, Frederick G.",,1992,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:b9b3f03c-7382-43ce-9d65-45f5e4eac798,"2015-12-01 14:47:41"
7970431,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:f0d9d2cc-0356-4e29-9392-9207c50823ad,"2015-12-01 14:47:21"
7970431,"Adams, J. E.",,s.d.,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:915fbe2b-e521-4949-9387-7eff7fb2283b,"2015-12-01 14:47:57"
7970432,"Radford, A. E.",,1956,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:ea16dd02-7321-48a3-a3bd-c8ac9efc39a0,"2015-12-01 15:04:06"
7970432,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:f24bb89b-ce63-4372-ab19-063ad782bffa,"2015-12-01 15:04:06"
7970432,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:83183d78-792b-49c4-99b1-f3e89d68ed28,"2015-12-01 15:04:24"
7970432,"Adams, J. E.",,s.d.,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:0c59fe4d-e3d8-4775-962e-d8e2a820f983,"2015-12-01 15:04:39"
7970434,"Freeman, O. M.",,1956,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:191d09a5-8dac-4730-92a0-c02ef95c71a3,"2015-12-01 15:08:47"
7970434,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:bbaba65d-d167-49ad-b309-a22618490017,"2015-12-01 15:08:47"
7970434,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:8cc0d1ac-4a31-4005-a441-4c807579017f,"2015-12-01 15:09:08"
7970434,"Adams, J. E.",,s.d.,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:2f6e6d90-47f5-48b3-a5e4-b6cde081ba28,"2015-12-01 15:09:25"
7970436,"Freeman, O. M.",,1959,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:cd583928-2d4c-454f-82f7-c6419d13ee29,"2015-12-01 15:14:27"
7970436,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:514e6a02-106a-467c-b125-a59fb55599c7,"2015-12-01 15:14:27"
7970436,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:71635242-f226-4984-9a5b-342aafadc1cb,"2015-12-01 15:14:45"
7970436,"Adams, J. E.",,s.d.,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:e78f00b9-ac9f-4982-8c52-52147ef54dcb,"2015-12-01 15:15:01"
7970439,"Radford, A. E.",,1958,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:6fad2d16-fd53-46ee-a28f-0d6e26d75bf5,"2015-12-01 15:24:17"
7970439,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:5a08788b-7d98-4153-a28c-2887389d8a6b,"2015-12-01 15:24:34"
