coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
3826765,"T. R. Van Devender",,1990-08-31,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:a2488708-2073-46c7-9442-aa15550a2343,"2014-07-25 19:26:02"
5567701,"R. H. Peebles",,1927-10-11,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:0f290f10-c229-4265-869e-85b78c527e78,"2014-12-23 15:15:32"
5567700,"L. Benson",,1941-04-15,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:7e0465da-0dc9-41d4-b2e2-a00b1a3ff0d1,"2014-12-23 15:15:32"
996736,"H. S. Gentry",,1935-02-23,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:f1a991e3-48b7-4347-8f89-db4964b83333,"2014-07-25 19:26:02"
5567699,"T. R. Van Devender",,1973-03-05,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:e73cbaba-fa72-4193-b61c-dc9c604a4984,"2014-12-23 15:15:32"
5567698,"Janet R. Sullivan",,10/95,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:5b7e570d-1adb-44f7-b7ed-f3e9ec98ce41,"2017-06-21 17:58:55"
5567698,"R.R. Halse",,1972,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:84044843-7b35-4150-a1bb-a0168f34443a,"2017-06-21 17:58:55"
5567698,"R.R. Halse",,1972-11-26,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:27416874-909d-49a9-a4cd-08b053fa7f6b,"2014-12-23 15:15:32"
5567697,"T. R. Van Devender",,1973-01-14,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:8e8ab711-66b7-47b9-b484-efe33d65de0e,"2014-12-23 15:15:32"
5567696,"Janet R. Sullivan",,10/95,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:24d68455-1405-448a-84c4-1d12140227c2,"2018-03-05 17:40:21"
5567696,"L. Benson.",,1940-03-29,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:8232c705-b70b-4420-9453-efb93d21743f,"2014-12-23 15:15:32"
5567696,"U.T. Waterfall",,1956,,"Physalis crassifolia var. crassifolia",0,,,,,,,,urn:uuid:37844245-40a8-4e10-b78b-af095f722049,"2018-03-05 17:40:21"
5567695,"L.N. Goodding",,1938-12-01,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:3cdfe2b1-7221-467d-bf45-ecc31957f74a,"2014-12-23 15:15:32"
996737,"B. Raguso",,2001-03-12,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:f076f60b-567c-433d-8fa3-8ad37c75a903,"2014-07-25 19:26:02"
5567708,"R.J. Barr",,1963-03-26,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:9eccf7e1-33f3-4cb1-a063-3278def51bf5,"2014-12-23 15:15:32"
3826768,"Janet R. Sullivan",,10/95,,"Physalis crassifolia",0,Benth.,,,,,"Annotated for the Flora of North America",,urn:uuid:bcf3497f-ff3b-49fc-a9a0-3764d1ecccea,"2014-07-25 19:26:02"
3826768,"R.J. Rondeau",,1988-11-22,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:a9855a0d-fb2c-4fb6-928b-a53265ad9cca,"2014-07-25 19:26:02"
3826767,"J.J. Thornber",,1900-12-01,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:6388b049-16c6-4f59-848f-9ce5d4a91f8d,"2014-07-25 19:26:02"
3826766,"J.J. Thornber",,1903-10-14,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:76c13d98-2bad-457b-969e-c02957dd1fc2,"2014-07-25 19:26:02"
3826764,"C.J. King",,1926-07-18,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:a823a5fc-ea78-4842-8a2d-8fbae60d2100,"2014-07-25 19:26:02"
