stateProvince,county,centroidLon,centroidLat
Maine,Lincoln,-69.54306000240,44.07520337960
Hew Hampshire,Merrimack,-71.68019233100,43.29772241640
Pennsylvania,Fayette,-79.64739260890,39.91984182170
Pennsylvania,Westmoreland,-79.46684358500,40.31072630440
Massachusetts,Middlesex,-71.39179591410,42.48547378220
Connecticut,New Haven,-72.93236269540,41.41077746280
Connecticut,Litchfield,-73.24529148220,41.79251334760
Massachusetts,Worcester,-71.90772619330,42.35140012430
Massachusetts,Berkshire,-73.20644373150,42.37065084590
Massachusetts,Franklin,-72.59190122580,42.58313307330
Massachusetts,Hampshire,-72.66376610080,42.34007966070
Massachusetts,Norfolk,-71.22475939240,42.15503498830
Maine,Piscataquis,-69.28354858310,45.83799984460
Maine,Somerset,-69.95824021140,45.51378780040
Maine,Aroostook,-68.59881533420,46.65878970370
Maine,Oxford,-70.75551911300,44.49900891060
Maine,Penobscot,-68.64940845250,45.40055389180
Hew Hampshire,Carroll,-71.20275468640,43.87391444060
Hew Hampshire,Hillsborough,-71.71597314890,42.91531529160
New Jersey,Passaic,-74.30026469200,41.03374072630
New York,Westchester,-73.75526936490,41.16428072000
New York,Washington,-73.43073905830,43.31369540850
New York,Warren,-73.84600343420,43.56096258520
New York,Fulton,-74.42219275670,43.11388256240
New York,Essex,-73.77269473540,44.11719623580
New York,Clinton,-73.67814515260,44.74617415430
New York,Franklin,-74.30375307200,44.59292549570
New York,Cayuga,-76.55426055810,42.91688711060
New York,Oneida,-75.43586039200,43.24179829040
New York,Herkimer,-74.96255620300,43.41962423750
New York,Schenectady,-74.05854558790,42.81820110890
New York,Albany,-73.97354984550,42.60022068210
New York,Greene,-74.12266711450,42.27655775430
New York,Ulster,-74.25855653700,41.88814257710
New York,Dutchess,-73.74283544880,41.76515744190
New York,Columbia,-73.63182703720,42.25008690550
New York,Rensselaer,-73.50969039330,42.71106401690
New York,Saratoga,-73.86387630140,43.10741026000
New York,St. Lawrence,-75.06250762270,44.49212311650
Pennsylvania,Centre,-77.81962501040,40.91903344880
Pennsylvania,Lycoming,-77.06447257670,41.34329566910
Pennsylvania,Wayne,-75.30327300330,41.64874361900
Pennsylvania,Erie,-80.03214576900,41.99165009890
Pennsylvania,Clinton,-77.63850227540,41.23409082240
Rhode Island,Providence,-71.58110172700,41.87242868460
Rhode Island,Washington,-71.62337827190,41.46872526250
Vermont,Chittenden,-73.08088653260,44.46088655710
Vermont,Addison,-73.14067422140,44.03056979350
Vermont,Rutland,-73.03661473830,43.58009476880
Vermont,Windham,-72.71381324900,42.99062339470
Vermont,Franklin,-72.91201656260,44.85743423020
Massachusetts,Essex,-70.95813642070,42.67288626310
Massachusetts,Plymouth,-70.81287344720,41.95471801040
Massachusetts,Hampden,-72.63163625510,42.13506870250
Rhode Island,Kent,-71.59433044100,41.67195395340
Hew Hampshire,Rockingham,-71.12511638000,42.98767732310
New Jersey,Union,-74.31039417140,40.66000402530
Maine,York,-70.71562875930,43.47957314260
Maine,Cumberland,-70.40955912690,43.84870367810
Maine,Franklin,-70.44396937150,44.97396555280
New Jersey,Bergen,-74.07813172460,40.96150920540
Connecticut,New London,-72.10039324900,41.48930995880
Massachusetts,Suffolk,-71.08175934010,42.33084155660
Maine,Waldo,-69.14781334600,44.50371635200
Maine,Hancock,-68.35310293660,44.67491157540
New York,Nassau,-73.58853651980,40.74106170190
New Jersey,Essex,-74.24810683350,40.78806893540
Massachusetts,Barnstable,-70.29817659290,41.72574446320
Maine,Kennebec,-69.76721655950,44.40933946200
Connecticut,Middlesex,-72.53402155430,41.46241389230
Connecticut,Fairfield,-73.38874376250,41.27313779300
Hew Hampshire,Coos,-71.30569418410,44.68930271680
Vermont,Caledonia,-72.10221344510,44.46472594050
Kentucky,Madison,-84.27801953780,37.72018997280
Kentucky,Magoffin,-83.06479927480,37.70656603530
Kentucky,Marion,-85.26964263520,37.55251003680
Kentucky,Marshall,-88.32933256110,36.88343606540
Kentucky,Martin,-82.51315577230,37.80158364640
Kentucky,Mason,-83.82404547770,38.59520827130
Kentucky,Meade,-86.21694466000,37.96951758080
Kentucky,Menifee,-83.59889782890,37.94135032180
Kentucky,Mercer,-84.87438963080,37.81111673340
Kentucky,Metcalfe,-85.62913098930,36.99048693230
Kentucky,Monroe,-85.71640900510,36.71218366570
Kentucky,Montgomery,-83.91316562150,38.03355930320
Kentucky,Morgan,-83.25892721800,37.92232245490
Kentucky,Muhlenberg,-87.14207846290,37.21570553170
